record_id,date,location,work_type,hazard_id,hazard_label,hazard_category,exposure_level,ppe_required,ppe_labels,environmental_doc_type,environmental_doc_id,temperature_f,noise_db,airborne_particles_ppm,supervisor,shift,incident_flag
REC-1087,2025-08-24,Hangar B,Avionics Work,haz_ventilation_fumes_mist_dust,Ventilation/ Fumes/ Mist/ Dust,Chemical & Airborne,Severe,ppe_supplied_air; ppe_steel_toe_shoes; ppe_heat_cold_resistant_gloves; ppe_face_shield,Supplied Air; Steel Toe Shoes; Heat/Cold Resistant Gloves; Face Shield,Noise Survey,DOC-2038,37,102,12.49,TSgt Rivera,Night,0
REC-1088,2025-05-04,Engine Shop,Sheet Metal Repair,haz_slips_trips_falls,Slips/ Trips/ Falls,"Slips, Trips, Falls & Work at Height",Severe,ppe_supplied_air; ppe_active_harness_and_lanyard; ppe_face_shield; ppe_rescue_plan_required_for_active_restraints,Supplied Air; Active (Harness and Lanyard); Face Shield; Rescue Plan (required for active restraints),Confined Space Permit,DOC-2154,37,112,1.64,Capt Howard,Night,0
REC-1089,2025-02-23,Maintenance Bay 2,Ground Ops,haz_slips_trips_falls,Slips/ Trips/ Falls,"Slips, Trips, Falls & Work at Height",Moderate,ppe_face_shield; ppe_chemical_resistant_gloves,Face Shield; Chemical Resistant Gloves,Air Quality Log,DOC-2381,66,104,6.19,Capt Howard,Night,0
REC-1090,2026-01-03,Maintenance Bay 1,Avionics Work,haz_heat_cold_environment,Heat/ Cold Environment,Physical Environment,High,ppe_hard_hat,Hard Hat,Hot Work Permit,DOC-2872,107,74,5.07,Civ Patel,Night,0
REC-1091,2025-09-15,Maintenance Bay 1,Sheet Metal Repair,haz_high_noise,High Noise,Physical Environment,Moderate,ppe_respirator; ppe_earmuffs; ppe_goggles,Respirator; Earmuffs; Goggles,Hot Work Permit,DOC-2719,97,66,9.73,Lt Brooks,Night,0
REC-1092,2025-08-30,Maintenance Bay 2,Fuel System Repair,haz_fire_explosion,Fire/ Explosion,Chemical & Airborne,Moderate,ppe_steel_toe_shoes; ppe_double_hearing_protection; ppe_cut_resistant_gloves,Steel Toe Shoes; Double Hearing Protection; Cut Resistant Gloves,HAZMAT Report,DOC-2158,39,92,12.68,TSgt Rivera,Night,0
REC-1093,2025-11-29,Flight Line,Welding Task,haz_heat_cold_environment,Heat/ Cold Environment,Physical Environment,Severe,ppe_respirator; ppe_earmuffs,Respirator; Earmuffs,JSA,DOC-2420,76,85,14.55,Civ Patel,Swing,1
REC-1094,2025-11-13,Paint Booth,Ground Ops,haz_line_of_fire,Line of Fire,Mechanical & Equipment,Severe,ppe_steel_toe_shoes; ppe_fr_clothing,Steel Toe Shoes; FR Clothing,Air Quality Log,DOC-2796,78,119,7.96,MSgt Coleman,Day,0
REC-1095,2025-08-14,Hangar B,Engine Removal,haz_pinch_points,Pinch Points,Mechanical & Equipment,High,ppe_fr_clothing,FR Clothing,JSA,DOC-2781,50,89,6.79,Civ Patel,Day,1
REC-1096,2026-02-07,Maintenance Bay 1,Routine Inspection,haz_excessive_force_exertion_level,Excessive Force/ Exertion Level,Ergonomics & Human Factors,Severe,ppe_supplied_air; ppe_bump_cap,Supplied Air; Bump Cap,Confined Space Permit,DOC-2382,60,104,14.92,Capt Howard,Day,0
REC-1097,2025-12-08,Flight Line,Routine Inspection,haz_head_knocker,Head Knocker,Physical Environment,High,ppe_hard_hat,Hard Hat,Noise Survey,DOC-2712,47,115,6.78,TSgt Rivera,Day,0
REC-1098,2025-04-15,Maintenance Bay 1,Engine Removal,haz_pinch_points,Pinch Points,Mechanical & Equipment,High,ppe_earmuffs; ppe_active_harness_and_lanyard,Earmuffs; Active (Harness and Lanyard),HAZMAT Report,DOC-2308,45,61,3.65,Civ Patel,Swing,0
REC-1099,2025-12-09,Fuel Cell Shop,Chemical Cleaning,haz_lifting_twisting_pulling,Lifting/ Twisting/ Pulling,Ergonomics & Human Factors,Low,ppe_active_harness_and_lanyard; ppe_safety_glasses; ppe_passive_guard_rails_restraint; ppe_chemical_resistant_gloves,"Active (Harness and Lanyard); Safety Glasses; Passive (Guard Rails, Restraint); Chemical Resistant Gloves",Confined Space Permit,DOC-2361,60,108,2.89,TSgt Rivera,Night,0
REC-1100,2025-06-25,Hangar A,Chemical Cleaning,haz_ventilation_fumes_mist_dust,Ventilation/ Fumes/ Mist/ Dust,Chemical & Airborne,High,ppe_respirator,Respirator,Air Quality Log,DOC-2765,32,100,11.85,Capt Howard,Day,0
REC-1101,2025-05-17,Paint Booth,Welding Task,haz_heat_cold_environment,Heat/ Cold Environment,Physical Environment,Severe,ppe_face_shield; ppe_bump_cap,Face Shield; Bump Cap,Hot Work Permit,DOC-2490,110,78,12.19,TSgt Rivera,Night,1
REC-1102,2026-01-30,Paint Booth,Avionics Work,haz_hazardous_materials_exposure,Hazardous Materials Exposure,Chemical & Airborne,Severe,ppe_cut_resistant_gloves; ppe_face_shield; ppe_rescue_plan_required_for_active_restraints,Cut Resistant Gloves; Face Shield; Rescue Plan (required for active restraints),Confined Space Permit,DOC-2484,62,59,11.32,MSgt Coleman,Swing,0
REC-1103,2025-07-12,Maintenance Bay 1,Ground Ops,haz_spill_release,Spill/ Release,Chemical & Airborne,Severe,ppe_heat_cold_resistant_gloves; ppe_ear_plugs; ppe_bump_cap,Heat/Cold Resistant Gloves; Ear Plugs; Bump Cap,Air Quality Log,DOC-2997,53,118,10.41,Capt Howard,Night,0
REC-1104,2025-09-09,Hangar B,Engine Removal,haz_excessive_force_exertion_level,Excessive Force/ Exertion Level,Ergonomics & Human Factors,High,ppe_goggles; ppe_papr; ppe_double_hearing_protection; ppe_steel_toe_shoes,Goggles; PAPR; Double Hearing Protection; Steel Toe Shoes,Hot Work Permit,DOC-2302,69,112,9.08,Lt Brooks,Day,1
REC-1105,2025-03-30,Hangar A,Engine Removal,haz_high_noise,High Noise,Physical Environment,Severe,ppe_face_shield; ppe_bump_cap; ppe_papr; ppe_heat_cold_resistant_gloves,Face Shield; Bump Cap; PAPR; Heat/Cold Resistant Gloves,Air Quality Log,DOC-2525,50,58,2.23,Civ Patel,Night,1
REC-1106,2025-03-27,Paint Booth,Sheet Metal Repair,haz_hazardous_materials_exposure,Hazardous Materials Exposure,Chemical & Airborne,Severe,ppe_goggles; ppe_chemical_resistant_gloves,Goggles; Chemical Resistant Gloves,Confined Space Permit,DOC-2033,107,74,10.22,Capt Howard,Swing,1
REC-1107,2025-08-01,Paint Booth,Avionics Work,haz_ventilation_fumes_mist_dust,Ventilation/ Fumes/ Mist/ Dust,Chemical & Airborne,Moderate,ppe_passive_guard_rails_restraint; ppe_bump_cap,"Passive (Guard Rails, Restraint); Bump Cap",JSA,DOC-2026,53,118,7.81,Civ Patel,Day,0
REC-1108,2025-12-20,Flight Line,Engine Removal,haz_pinch_points,Pinch Points,Mechanical & Equipment,Severe,ppe_cut_resistant_gloves; ppe_steel_toe_shoes; ppe_fr_clothing; ppe_rescue_plan_required_for_active_restraints,Cut Resistant Gloves; Steel Toe Shoes; FR Clothing; Rescue Plan (required for active restraints),HAZMAT Report,DOC-2920,86,66,12.18,Capt Howard,Night,0
REC-1109,2025-08-19,Engine Shop,Engine Removal,haz_ventilation_fumes_mist_dust,Ventilation/ Fumes/ Mist/ Dust,Chemical & Airborne,Moderate,ppe_steel_toe_shoes; ppe_double_hearing_protection; ppe_active_harness_and_lanyard,Steel Toe Shoes; Double Hearing Protection; Active (Harness and Lanyard),HAZMAT Report,DOC-2242,93,58,5.48,Civ Patel,Swing,1
REC-1110,2025-09-15,Maintenance Bay 1,Ground Ops,haz_pace_repetitive_motion,Pace/ Repetitive Motion,Ergonomics & Human Factors,Severe,ppe_goggles,Goggles,Noise Survey,DOC-2843,103,64,1.97,Capt Howard,Night,0
REC-1111,2025-12-16,Maintenance Bay 1,Routine Inspection,haz_walking_space,Walking Space,Physical Environment,Low,ppe_passive_guard_rails_restraint; ppe_bump_cap; ppe_earmuffs; ppe_double_hearing_protection,"Passive (Guard Rails, Restraint); Bump Cap; Earmuffs; Double Hearing Protection",Confined Space Permit,DOC-2156,68,76,2.51,MSgt Coleman,Swing,0
REC-1112,2025-12-18,Fuel Cell Shop,Engine Removal,haz_excessive_force_exertion_level,Excessive Force/ Exertion Level,Ergonomics & Human Factors,Moderate,ppe_cut_resistant_gloves; ppe_active_harness_and_lanyard; ppe_heat_cold_resistant_gloves,Cut Resistant Gloves; Active (Harness and Lanyard); Heat/Cold Resistant Gloves,Confined Space Permit,DOC-2964,104,74,2.65,Civ Patel,Night,0
REC-1113,2026-01-28,Fuel Cell Shop,Fuel System Repair,haz_hazardous_materials_exposure,Hazardous Materials Exposure,Chemical & Airborne,Severe,ppe_goggles,Goggles,Confined Space Permit,DOC-2654,33,118,13.35,Civ Patel,Swing,0
REC-1114,2025-07-03,Hangar B,Routine Inspection,haz_climbing_crawling_bending,Climbing/ Crawling/ Bending,"Slips, Trips, Falls & Work at Height",Moderate,ppe_respirator; ppe_steel_toe_shoes,Respirator; Steel Toe Shoes,Noise Survey,DOC-2425,91,114,3.14,Civ Patel,Day,0
REC-1115,2025-06-02,Hangar B,Sheet Metal Repair,haz_head_knocker,Head Knocker,Physical Environment,Moderate,ppe_respirator; ppe_earmuffs; ppe_bump_cap,Respirator; Earmuffs; Bump Cap,Noise Survey,DOC-2125,64,112,3.79,TSgt Rivera,Day,0
REC-1116,2025-11-15,Flight Line,Ground Ops,haz_housekeeping,Housekeeping,Physical Environment,Severe,ppe_chemical_resistant_gloves; ppe_double_hearing_protection; ppe_hard_hat; ppe_passive_guard_rails_restraint,"Chemical Resistant Gloves; Double Hearing Protection; Hard Hat; Passive (Guard Rails, Restraint)",Noise Survey,DOC-2900,69,118,0.45,Lt Brooks,Night,1
REC-1117,2026-01-27,Hangar A,Avionics Work,haz_machine_guards,Machine Guards,Mechanical & Equipment,Severe,ppe_rescue_plan_required_for_active_restraints; ppe_bump_cap,Rescue Plan (required for active restraints); Bump Cap,Confined Space Permit,DOC-2903,90,91,8.1,TSgt Rivera,Swing,0
REC-1118,2025-07-30,Hangar A,Fuel System Repair,haz_pinch_points,Pinch Points,Mechanical & Equipment,High,ppe_respirator; ppe_bump_cap; ppe_face_shield,Respirator; Bump Cap; Face Shield,Confined Space Permit,DOC-2295,39,104,7.61,Civ Patel,Swing,0
REC-1119,2025-08-13,Paint Booth,Sheet Metal Repair,haz_pace_repetitive_motion,Pace/ Repetitive Motion,Ergonomics & Human Factors,Moderate,ppe_respirator,Respirator,HAZMAT Report,DOC-2616,95,106,7.55,TSgt Rivera,Day,0
